"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 19 12:18:00 CDT 2023","Fri May 19 12:18:06 CDT 2023","6265","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Fri May 19 12:17:43 CDT 2023","Fri May 19 12:17:43 CDT 2023","157","","Queue","","User navigate back to selected Queue Topic Page and try Practice Question Page","","User navigate back to selected Queue Topic Page and try Practice Question Page",""
"passed","Fri May 19 12:13:43 CDT 2023","Fri May 19 12:13:47 CDT 2023","3333","","Register Page validation","","User click register button on Home page","","User click register button on Home page",""
"passed","Fri May 19 12:14:55 CDT 2023","Fri May 19 12:15:03 CDT 2023","7607","","Array Page","","User validate ArrayPage","","User validate ArrayPage",""
"passed","Fri May 19 12:16:14 CDT 2023","Fri May 19 12:16:23 CDT 2023","8437","","Linked List","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList",""
"passed","Fri May 19 12:17:36 CDT 2023","Fri May 19 12:17:43 CDT 2023","6264","","Queue","","User click on Try Here button and enter valid and invalid python code in tryEditor for Queue","","User click on Try Here button and enter valid and invalid python code in tryEditor for Queue",""
"passed","Fri May 19 12:14:48 CDT 2023","Fri May 19 12:14:52 CDT 2023","4587","","Data Structure Intro","","User enter valid and invalid python code in tryEditor","","User enter valid and invalid python code in tryEditor",""
"passed","Fri May 19 12:14:44 CDT 2023","Fri May 19 12:14:48 CDT 2023","3623","","Data Structure Intro","","User enter valid and invalid python code in tryEditor","","User enter valid and invalid python code in tryEditor",""
"passed","Fri May 19 12:16:48 CDT 2023","Fri May 19 12:16:48 CDT 2023","197","","Linked List","","User navigate back to selected LinkedList Topic Page and try Practice Question Page","","User navigate back to selected LinkedList Topic Page and try Practice Question Page",""
"passed","Fri May 19 12:16:23 CDT 2023","Fri May 19 12:16:31 CDT 2023","8449","","Linked List","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList",""
"passed","Fri May 19 12:13:40 CDT 2023","Fri May 19 12:13:43 CDT 2023","3656","","Home Page","","User is on Home page and click getstarted link/dropbox on  home page without sign in","","User is on Home page and click getstarted link/dropbox on  home page without sign in",""
"passed","Fri May 19 12:18:26 CDT 2023","Fri May 19 12:18:32 CDT 2023","6353","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Fri May 19 12:13:52 CDT 2023","Fri May 19 12:13:56 CDT 2023","4066","","Register Page validation","","The user is on Register Page and entered invalid user Details","","The user is on Register Page and entered invalid user Details",""
"passed","Fri May 19 12:17:24 CDT 2023","Fri May 19 12:17:30 CDT 2023","6420","","Queue","","User click on Try Here button and enter valid and invalid python code in tryEditor for Queue","","User click on Try Here button and enter valid and invalid python code in tryEditor for Queue",""
